iter	Logloss
0	0.6182777914
1	0.5540945515
2	0.4987481603
3	0.4512332578
4	0.4098647535
5	0.374496959
6	0.3445401166
7	0.3188865955
8	0.2962387399
9	0.2771845975
10	0.2606132025
11	0.246364817
12	0.2341495643
13	0.2235511018
14	0.2141758253
15	0.2056554059
16	0.1986600433
17	0.1920159845
18	0.1864606461
19	0.1814968492
20	0.1775774043
21	0.1741235435
22	0.1709957705
23	0.1681158334
24	0.1655342789
25	0.16304014
26	0.1612337957
27	0.1595076447
28	0.1580713312
29	0.1566522812
30	0.1554276393
31	0.154479582
32	0.1533210954
33	0.1523543364
34	0.1513899311
35	0.1505596593
36	0.1499520169
37	0.149263126
38	0.1487767034
39	0.1483359291
40	0.147793539
41	0.1472461259
42	0.1468059616
43	0.1464486002
44	0.1461605295
45	0.1458491167
46	0.1456398919
47	0.1452855954
48	0.145030263
49	0.1448081422
50	0.1446245916
51	0.1444234756
52	0.1442250727
53	0.1440776994
54	0.1438851102
55	0.1437578991
56	0.1435896932
57	0.143457864
58	0.1433524424
59	0.1432379427
60	0.1431446017
61	0.1430263611
62	0.1429091249
63	0.1427950331
64	0.1426834075
65	0.1426080204
66	0.1425298879
67	0.1424489391
68	0.1423626555
69	0.1422800541
70	0.1422130502
71	0.1421561388
72	0.1421051066
73	0.1420327309
74	0.1419691478
75	0.1419132657
76	0.1418579311
77	0.1418130284
78	0.14177357
79	0.1417335505
80	0.1416897472
81	0.141653867
82	0.1416175042
83	0.1415634188
84	0.1415009499
85	0.1414671661
86	0.1414136172
87	0.141367941
88	0.1413237096
89	0.1412872161
90	0.1412469187
91	0.1412034707
92	0.141178926
93	0.1411352817
94	0.141096583
95	0.1410628511
96	0.141043307
97	0.1410073715
98	0.1409754907
99	0.1409543791
100	0.1409330182
101	0.1408972701
102	0.1408767257
103	0.1408552241
104	0.1408286182
105	0.1408117984
106	0.1407773872
107	0.1407528738
108	0.1407295078
109	0.1407063544
110	0.1406749296
111	0.1406417265
112	0.1406207405
113	0.1405982979
114	0.1405841749
115	0.1405632831
116	0.1405351162
117	0.1405175635
118	0.1404989252
119	0.1404756571
120	0.1404559165
121	0.1404401375
122	0.1404258331
123	0.1404009998
124	0.1403737317
125	0.1403523945
126	0.1403365147
127	0.1403239988
128	0.140302912
129	0.1402743905
130	0.1402580576
131	0.1402422926
132	0.1402195313
133	0.140202356
134	0.1401819104
135	0.1401667701
136	0.1401437815
137	0.1401250394
138	0.1401049645
139	0.1400870693
140	0.140070343
141	0.140049658
142	0.1400242189
143	0.1400108082
144	0.1399908536
145	0.1399678725
146	0.1399575964
147	0.1399467338
148	0.1399207868
149	0.1399036298
150	0.1398976494
151	0.139877907
152	0.1398702845
153	0.1398411015
154	0.1398306979
155	0.1398146603
156	0.1397979842
157	0.1397905579
158	0.1397792359
159	0.1397530652
160	0.1397411767
161	0.1397194147
162	0.1397008401
163	0.1396733627
164	0.1396572634
165	0.1396357188
166	0.1396169108
167	0.1395978719
168	0.1395844289
169	0.1395666432
170	0.1395529573
171	0.1395410759
172	0.1395289762
173	0.1395133614
174	0.1395011652
175	0.1394879278
176	0.1394691786
177	0.1394575961
178	0.1394422047
179	0.1394290646
180	0.1394154272
181	0.1393993901
182	0.1393826299
183	0.1393646642
184	0.1393501575
185	0.1393354527
186	0.1393194409
187	0.1392984527
188	0.1392873947
189	0.1392677183
190	0.1392449597
191	0.1392284535
192	0.1392109538
193	0.139192998
194	0.1391784591
195	0.1391654729
196	0.1391485744
197	0.1391324581
198	0.1391235157
199	0.1391144039
200	0.1390963701
201	0.1390897984
202	0.13907386
203	0.1390564103
204	0.1390442426
205	0.1390308117
206	0.1390246121
207	0.1390095864
208	0.1389979299
209	0.1389888025
210	0.1389771822
211	0.1389680636
212	0.1389572508
213	0.1389427921
214	0.1389290037
215	0.1389196301
216	0.1389089468
217	0.1388947259
218	0.1388879343
219	0.1388770346
220	0.1388677671
221	0.1388497208
222	0.1388428461
223	0.1388323497
224	0.1388150411
225	0.1388057106
226	0.1387974792
227	0.1387873575
228	0.1387764155
229	0.1387672539
230	0.1387604819
231	0.1387473374
232	0.1387358098
233	0.1387288
234	0.1387134053
235	0.1387031916
236	0.1386917909
237	0.1386805473
238	0.1386681405
239	0.1386531973
240	0.1386407206
241	0.1386314684
242	0.1386182386
243	0.1386075994
244	0.1386016315
245	0.1385906721
246	0.1385756868
247	0.1385638609
248	0.1385539124
249	0.1385389548
250	0.1385287658
251	0.1385202962
252	0.1385122308
253	0.1384991632
254	0.1384895648
255	0.1384816165
256	0.1384704418
257	0.1384611289
258	0.138454535
259	0.1384459347
260	0.1384327798
261	0.138421824
262	0.1384079147
263	0.1383961318
264	0.1383875474
265	0.138377464
266	0.138370759
267	0.138360638
268	0.1383519542
269	0.1383405594
270	0.1383336991
271	0.1383244378
272	0.138316419
273	0.1383072589
274	0.1382987267
275	0.13828707
276	0.1382796809
277	0.1382702771
278	0.1382628581
279	0.1382548622
