iter	Passed	Remaining
0	310	309823
1	358	179087
2	407	135532
3	451	112381
4	501	99820
5	554	91917
6	606	86025
7	651	80838
8	713	78539
9	770	76275
10	811	72993
11	858	70720
12	903	68611
13	973	68532
14	1032	67788
15	1090	67048
16	1137	65766
17	1197	65354
18	1250	64573
19	1315	64452
20	1364	63590
21	1452	64555
22	1518	64483
23	1573	63973
24	1629	63537
25	1693	63429
26	1740	62736
27	1791	62178
28	1834	61411
29	1906	61635
30	1958	61218
31	2007	60732
32	2061	60396
33	2106	59854
34	2165	59710
35	2217	59383
36	2264	58927
37	2316	58655
38	2359	58138
39	2418	58044
40	2476	57927
41	2532	57774
42	2596	57785
43	2666	57945
44	2721	57758
45	2774	57545
46	2829	57381
47	2899	57514
48	2951	57274
49	3007	57142
50	3078	57282
51	3159	57605
52	3227	57662
53	3284	57536
54	3338	57357
55	3400	57320
56	3450	57084
57	3501	56863
58	3555	56712
59	3606	56502
60	3662	56386
61	3715	56206
62	3764	55988
63	3814	55788
64	3870	55675
65	3927	55575
66	3975	55359
67	4027	55203
68	4079	55038
69	4146	55087
70	4196	54902
71	4242	54687
72	4292	54510
73	4361	54572
74	4411	54413
75	4462	54259
76	4512	54090
77	4563	53943
78	4619	53860
79	4670	53712
80	4724	53601
81	4774	53455
82	4823	53291
83	4886	53282
84	4938	53163
85	4985	52980
86	5039	52888
87	5101	52866
88	5159	52810
89	5215	52730
90	5275	52701
91	5337	52673
92	5404	52705
93	5460	52626
94	5514	52528
95	5563	52391
96	5626	52381
97	5678	52262
98	5730	52150
99	5787	52085
100	5838	51965
101	5900	51946
102	5953	51844
103	6003	51722
104	6056	51625
105	6105	51492
106	6176	51550
107	6236	51510
108	6289	51409
109	6340	51301
110	6403	51287
111	6457	51200
112	6507	51082
113	6556	50960
114	6606	50839
115	6679	50900
116	6732	50807
117	6781	50692
118	6844	50669
119	6926	50791
120	6991	50789
121	7043	50693
122	7107	50673
123	7176	50700
124	7252	50769
125	7320	50780
126	7369	50659
127	7425	50588
128	7474	50464
129	7531	50404
130	7581	50295
131	7635	50206
132	7693	50153
133	7738	50009
134	7784	49880
135	7829	49737
136	7876	49617
137	7951	49670
138	8005	49585
139	8063	49531
140	8111	49416
141	8158	49298
142	8218	49250
143	8261	49108
144	8308	48991
145	8351	48853
146	8393	48707
147	8457	48689
148	8520	48663
149	8574	48589
150	8616	48447
151	8665	48344
152	8719	48271
153	8765	48152
154	8808	48020
155	8855	47909
156	8898	47779
157	8963	47769
158	9018	47701
159	9074	47639
160	9121	47534
161	9169	47432
162	9232	47408
163	9279	47304
164	9323	47184
165	9371	47085
166	9417	46974
167	9480	46948
168	9534	46882
169	9588	46813
170	9642	46748
171	9692	46657
172	9749	46605
173	9799	46517
174	9844	46410
175	9889	46303
176	9936	46202
177	9990	46135
178	10037	46038
179	10087	45955
180	10149	45927
181	10206	45874
182	10262	45817
183	10313	45736
184	10360	45640
185	10406	45542
186	10453	45445
187	10517	45428
188	10565	45336
189	10622	45286
190	10679	45232
191	10743	45211
192	10791	45123
193	10840	45036
194	10886	44942
195	10935	44856
196	10984	44776
197	11044	44737
198	11091	44643
199	11144	44579
200	11201	44525
201	11262	44493
202	11310	44406
203	11353	44302
204	11399	44208
205	11448	44125
206	11494	44033
207	11547	43968
208	11594	43879
209	11640	43791
210	11691	43717
211	11750	43676
212	11816	43658
213	11864	43575
214	11919	43519
215	11975	43465
216	12043	43458
217	12099	43402
218	12150	43329
219	12214	43306
220	12266	43238
221	12333	43224
222	12384	43152
223	12435	43079
